,Year,Value
604,2018,1433
605,2018,6
606,2018,1
607,2018,20
608,2018,1598
609,2018,18
610,2018,5
611,2018,33
612,2018,304
613,2018,0
614,2018,147
615,2018,1073
616,2018,19
617,2018,295
618,2018,285
619,2018,71
620,2018,1201
621,2018,743
622,2018,285
623,2018,56
624,2018,22
625,2018,173
626,2018,1201
627,2018,527
628,2018,481
629,2018,192
630,2018,310600
631,2018,13100
632,2018,154
633,2018,95
634,2018,33
635,2018,13
636,2018,6
637,2018,44
638,2018,527
639,2018,69
640,2018,455
641,2018,1
642,2018,0
643,2018,3
644,2018,474
645,2018,5
646,2018,2
647,2018,9
648,2018,133
649,2018,0
650,2018,39
651,2018,285
652,2018,1
653,2018,120
654,2018,116
655,2018,48
656,2018,346
657,2018,234
658,2018,69
659,2018,15
660,2018,12
661,2018,43
662,2018,346
663,2018,135
664,2018,144
665,2018,67
666,2018,162600
667,2018,14800
668,2018,163
669,2018,82
670,2018,43
671,2018,36
672,2018,14
673,2018,39
674,2018,5556
675,2018,201
676,2018,5326
677,2018,9
678,2018,0
679,2018,20
680,2018,5328
681,2018,37
682,2018,13
683,2018,158
684,2018,1030
685,2018,0
686,2018,135
687,2018,3923
688,2018,31
689,2018,576
690,2018,626
691,2018,279
692,2018,4749
693,2018,1937
694,2018,1405
695,2018,216
696,2018,94
697,2018,1408
698,2018,4749
699,2018,2431
700,2018,1408
701,2018,910
702,2018,323100
703,2018,16200
704,2018,138
705,2018,93
706,2018,33
707,2018,11
708,2018,6
709,2018,51
710,2018,5556
711,2018,201
712,2018,5326
713,2018,9
714,2018,0
715,2018,20
716,2018,5328
717,2018,37
718,2018,13
719,2018,158
720,2018,1030
721,2018,0
722,2018,135
723,2018,3923
724,2018,31
725,2018,576
726,2018,626
727,2018,279
728,2018,4749
729,2018,1937
730,2018,1405
731,2018,216
732,2018,94
733,2018,1408
734,2018,4749
735,2018,2431
736,2018,1408
737,2018,910
738,2018,323100
739,2018,16200
740,2018,138
741,2018,93
742,2018,33
743,2018,11
744,2018,6
745,2018,51
746,2018,3349
747,2018,C
748,2018,3137
749,2018,1
750,2018,0
751,2018,C
752,2018,3148
753,2018,10
754,2018,8
755,2018,148
756,2018,444
757,2018,1
758,2018,C
759,2018,2454
760,2018,C
761,2018,443
762,2018,472
763,2018,229
764,2018,3818
765,2018,1820
766,2018,C
767,2018,171
768,2018,22
769,2018,C
770,2018,3818
771,2018,2593
772,2018,911
773,2018,314
774,2018,674300
775,2018,46100
776,2018,200
777,2018,148
778,2018,C
779,2018,9
780,2018,6
781,2018,68
782,2018,3349
783,2018,C
784,2018,3137
785,2018,1
786,2018,0
787,2018,C
788,2018,3148
789,2018,10
790,2018,8
791,2018,148
792,2018,444
793,2018,1
794,2018,C
795,2018,2454
796,2018,C
797,2018,443
798,2018,472
799,2018,229
800,2018,3818
801,2018,1820
802,2018,C
803,2018,171
804,2018,22
805,2018,C
806,2018,3818
807,2018,2593
808,2018,911
809,2018,314
810,2018,674300
811,2018,46100
812,2018,200
813,2018,148
814,2018,C
815,2018,9
816,2018,6
817,2018,68
818,2018,1549
819,2018,100
820,2018,1443
821,2018,2
822,2018,1
823,2018,3
824,2018,1457
825,2018,14
826,2018,7
827,2018,66
828,2018,439
829,2018,1
830,2018,74
831,2018,842
832,2018,15
833,2018,110
834,2018,114
835,2018,96
836,2018,970
837,2018,485
838,2018,316
839,2018,80
840,2018,26
841,2018,169
842,2018,970
843,2018,252
844,2018,428
845,2018,291
846,2018,205200
847,2018,12800
848,2018,113
849,2018,87
850,2018,26
851,2018,38
852,2018,10
853,2018,26
854,2018,1549
855,2018,100
856,2018,1443
857,2018,2
858,2018,1
859,2018,3
860,2018,1457
861,2018,14
862,2018,7
863,2018,66
864,2018,439
865,2018,1
866,2018,74
867,2018,842
868,2018,15
869,2018,110
870,2018,114
871,2018,96
872,2018,970
873,2018,485
874,2018,316
875,2018,80
876,2018,26
877,2018,169
878,2018,970
879,2018,252
880,2018,428
881,2018,291
882,2018,205200
883,2018,12800
884,2018,113
885,2018,87
886,2018,26
887,2018,38
888,2018,10
889,2018,26
890,2018,11614
891,2018,3659
892,2018,7846
893,2018,52
894,2018,0
895,2018,58
896,2018,10640
897,2018,C
898,2018,2289
899,2018,238
900,2018,231
901,2018,C
902,2018,3196
903,2018,4524
904,2018,C
905,2018,1156
906,2018,1380
907,2018,1198
908,2018,6871
909,2018,3157
910,2018,C
911,2018,369
912,2018,C
913,2018,C
914,2018,6871
915,2018,C
916,2018,2737
917,2018,C
918,2018,8558900
919,2018,883200
920,2018,115
921,2018,65
922,2018,13
923,2018,C
924,2018,17
925,2018,C
926,2018,11614
927,2018,3659
928,2018,7846
929,2018,52
930,2018,0
931,2018,58
932,2018,10640
933,2018,C
934,2018,2289
935,2018,238
936,2018,231
937,2018,C
938,2018,3196
939,2018,4524
940,2018,C
941,2018,1156
942,2018,1380
943,2018,1198
944,2018,6871
945,2018,3157
946,2018,C
947,2018,369
948,2018,C
949,2018,C
950,2018,6871
951,2018,C
952,2018,2737
953,2018,C
954,2018,8558900
955,2018,883200
956,2018,115
957,2018,65
958,2018,13
959,2018,C
960,2018,17
961,2018,C
962,2018,5742
963,2018,1207
964,2018,4442
965,2018,56
966,2018,10
967,2018,26
968,2018,5359
969,2018,77
970,2018,21
971,2018,201
972,2018,635
973,2018,1
974,2018,878
975,2018,3520
976,2018,28
977,2018,778
978,2018,861
979,2018,465
980,2018,5153
981,2018,2525
982,2018,1691
983,2018,295
984,2018,43
985,2018,938
986,2018,5153
987,2018,2463
988,2018,1436
989,2018,1255
990,2018,697200
991,2018,56400
992,2018,176
993,2018,116
994,2018,27
995,2018,19
996,2018,9
997,2018,48
998,2018,2043
999,2018,C
1000,2018,C
1001,2018,C
1002,2018,14
1003,2018,1885
1004,2018,51
1005,2018,5
1006,2018,99
1007,2018,169
1008,2018,0
1009,2018,1546
1010,2018,16
1011,2018,143
1012,2018,162
1013,2018,176
1014,2018,1853
1015,2018,877
1016,2018,757
1017,2018,131
1018,2018,10
1019,2018,218
1020,2018,1853
1021,2018,518
1022,2018,417
1023,2018,917
1024,2018,1173500
1025,2018,101200
1026,2018,210
1027,2018,171
1028,2018,34
1029,2018,10
1030,2018,28
1031,2018,1808
1032,2018,C
1033,2018,C
1034,2018,C
1035,2018,7
1036,2018,1745
1037,2018,8
1038,2018,9
1039,2018,58
1040,2018,156
1041,2018,0
1042,2018,1511
1043,2018,2
1044,2018,310
1045,2018,351
1046,2018,104
1047,2018,1495
1048,2018,686
1049,2018,560
1050,2018,84
1051,2018,11
1052,2018,250
1053,2018,1495
1054,2018,1047
1055,2018,409
1056,2018,38
1057,2018,998000
1058,2018,57500
1059,2018,168
1060,2018,82
1061,2018,10
1062,2018,7
1063,2018,70
1064,2018,1891
1065,2018,449
1066,2018,1416
1067,2018,C
1068,2018,C
1069,2018,5
1070,2018,1729
1071,2018,18
1072,2018,6
1073,2018,44
1074,2018,309
1075,2018,1
1076,2018,297
1077,2018,1044
1078,2018,10
1079,2018,326
1080,2018,348
1081,2018,185
1082,2018,1806
1083,2018,962
1084,2018,374
1085,2018,80
1086,2018,22
1087,2018,470
1088,2018,1806
1089,2018,897
1090,2018,609
1091,2018,299
1092,2018,403800
1093,2018,39400
1094,2018,158
1095,2018,101
1096,2018,34
1097,2018,21
1098,2018,10
1099,2018,50
1100,2018,3788
1101,2018,365
1102,2018,3397
1103,2018,14
1104,2018,0
1105,2018,11
1106,2018,3393
1107,2018,24
1108,2018,18
1109,2018,105
1110,2018,776
1111,2018,1
1112,2018,221
1113,2018,2207
1114,2018,42
1115,2018,523
1116,2018,536
1117,2018,407
1118,2018,3741
1119,2018,1665
1120,2018,864
1121,2018,117
1122,2018,14
1123,2018,1212
1124,2018,3741
1125,2018,2190
1126,2018,969
1127,2018,583
1128,2018,306100
1129,2018,32900
1130,2018,172
1131,2018,117
1132,2018,39
1133,2018,19
1134,2018,11
1135,2018,59
1136,2018,3788
1137,2018,365
1138,2018,3397
1139,2018,14
1140,2018,0
1141,2018,11
1142,2018,3393
1143,2018,24
1144,2018,18
1145,2018,105
1146,2018,776
1147,2018,1
1148,2018,221
1149,2018,2207
1150,2018,42
1151,2018,523
1152,2018,536
1153,2018,407
1154,2018,3741
1155,2018,1665
1156,2018,864
1157,2018,117
1158,2018,14
1159,2018,1212
1160,2018,3741
1161,2018,2190
1162,2018,969
1163,2018,583
1164,2018,306100
1165,2018,32900
1166,2018,172
1167,2018,117
1168,2018,39
1169,2018,19
1170,2018,11
1171,2018,59
1172,2018,3484
1173,2018,400
1174,2018,3068
1175,2018,8
1176,2018,0
1177,2018,8
1178,2018,3102
1179,2018,40
1180,2018,17
1181,2018,125
1182,2018,558
1183,2018,C
1184,2018,323
1185,2018,2029
1186,2018,10
1187,2018,289
1188,2018,300
1189,2018,392
1190,2018,3060
1191,2018,1172
1192,2018,1247
1193,2018,252
1194,2018,50
1195,2018,641
1196,2018,3060
1197,2018,1768
1198,2018,875
1199,2018,417
1200,2018,363300
1201,2018,40900
1202,2018,134
1203,2018,100
1204,2018,19
1205,2018,22
1206,2018,13
1207,2018,58
1208,2018,3484
1209,2018,400
1210,2018,3068
1211,2018,8
1212,2018,0
1213,2018,8
1214,2018,3102
1215,2018,40
1216,2018,17
1217,2018,125
1218,2018,558
1219,2018,C
1220,2018,323
1221,2018,2029
1222,2018,10
1223,2018,289
1224,2018,300
1225,2018,392
1226,2018,3060
1227,2018,1172
1228,2018,1247
1229,2018,252
1230,2018,50
1231,2018,641
1232,2018,3060
1233,2018,1768
1234,2018,875
1235,2018,417
1236,2018,363300
1237,2018,40900
1238,2018,134
1239,2018,100
1240,2018,19
1241,2018,22
1242,2018,13
1243,2018,58
1244,2018,3529
1245,2018,C
1246,2018,3353
1247,2018,29
1248,2018,C
1249,2018,7
1250,2018,3559
1251,2018,52
1252,2018,3
1253,2018,122
1254,2018,437
1255,2018,0
1256,2018,C
1257,2018,2647
1258,2018,C
1259,2018,441
1260,2018,496
1261,2018,25
1262,2018,2618
1263,2018,1239
1264,2018,904
1265,2018,166
1266,2018,C
1267,2018,476
1268,2018,2618
1269,2018,C
1270,2018,947
1271,2018,C
1272,2018,731400
1273,2018,5200
1274,2018,131
1275,2018,78
1276,2018,C
1277,2018,C
1278,2018,1
1279,2018,C
1280,2018,3529
1281,2018,C
1282,2018,3353
1283,2018,29
1284,2018,C
1285,2018,7
1286,2018,3559
1287,2018,52
1288,2018,3
1289,2018,122
1290,2018,437
1291,2018,0
1292,2018,C
1293,2018,2647
1294,2018,C
1295,2018,441
1296,2018,496
1297,2018,25
1298,2018,2618
1299,2018,1239
1300,2018,904
1301,2018,166
1302,2018,C
1303,2018,476
1304,2018,2618
1305,2018,C
1306,2018,947
1307,2018,C
1308,2018,731400
1309,2018,5200
1310,2018,131
1311,2018,78
1312,2018,C
1313,2018,C
1314,2018,1
1315,2018,C
1316,2018,6615
1317,2018,397
1318,2018,6177
1319,2018,18
1320,2018,1
1321,2018,22
1322,2018,6057
1323,2018,44
1324,2018,19
1325,2018,122
1326,2018,1482
1327,2018,0
1328,2018,278
1329,2018,4041
1330,2018,70
1331,2018,511
1332,2018,556
1333,2018,603
1334,2018,3977
1335,2018,2294
1336,2018,910
1337,2018,239
1338,2018,86
1339,2018,773
1340,2018,3977
1341,2018,1678
1342,2018,1515
1343,2018,783
1344,2018,261900
1345,2018,23900
1346,2018,151
1347,2018,115
1348,2018,30
1349,2018,36
1350,2018,15
1351,2018,42
1352,2018,6615
1353,2018,397
1354,2018,6177
1355,2018,18
1356,2018,1
1357,2018,22
1358,2018,6057
1359,2018,44
1360,2018,19
1361,2018,122
1362,2018,1482
1363,2018,0
1364,2018,278
1365,2018,4041
1366,2018,70
1367,2018,511
1368,2018,556
1369,2018,603
1370,2018,3977
1371,2018,2294
1372,2018,910
1373,2018,239
1374,2018,86
1375,2018,773
1376,2018,3977
1377,2018,1678
1378,2018,1515
1379,2018,783
1380,2018,261900
1381,2018,23900
1382,2018,151
1383,2018,115
1384,2018,30
1385,2018,36
1386,2018,15
1387,2018,42
1388,2018,3744
1389,2018,88
1390,2018,3641
1391,2018,3
1392,2018,1
1393,2018,10
1394,2018,3586
1395,2018,13
1396,2018,7
1397,2018,59
1398,2018,873
1399,2018,0
1400,2018,69
1401,2018,2548
1402,2018,16
1403,2018,559
1404,2018,707
1405,2018,306
1406,2018,2537
1407,2018,1692
1408,2018,622
1409,2018,103
1410,2018,35
1411,2018,223
1412,2018,2537
1413,2018,1173
1414,2018,946
1415,2018,418
1416,2018,294000
1417,2018,24000
1418,2018,179
1419,2018,104
1420,2018,21
1421,2018,26
1422,2018,12
1423,2018,46
1424,2018,3744
1425,2018,88
1426,2018,3641
1427,2018,3
1428,2018,1
1429,2018,10
1430,2018,3586
1431,2018,13
1432,2018,7
1433,2018,59
1434,2018,873
1435,2018,0
1436,2018,69
1437,2018,2548
1438,2018,16
1439,2018,559
1440,2018,707
1441,2018,306
1442,2018,2537
1443,2018,1692
1444,2018,622
1445,2018,103
1446,2018,35
1447,2018,223
1448,2018,2537
1449,2018,1173
1450,2018,946
1451,2018,418
1452,2018,294000
1453,2018,24000
1454,2018,179
1455,2018,104
1456,2018,21
1457,2018,26
1458,2018,12
1459,2018,46
1460,2018,8661
1461,2018,853
1462,2018,7685
1463,2018,40
1464,2018,C
1465,2018,C
1466,2018,7867
1467,2018,C
1468,2018,24
1469,2018,212
1470,2018,1981
1471,2018,4
1472,2018,576
1473,2018,4945
1474,2018,C
1475,2018,947
1476,2018,987
1477,2018,834
1478,2018,7084
1479,2018,3928
1480,2018,1169
1481,2018,259
1482,2018,68
1483,2018,1987
1484,2018,7084
1485,2018,2908
1486,2018,2809
1487,2018,1367
1488,2018,310000
1489,2018,29900
1490,2018,140
1491,2018,105
1492,2018,33
1493,2018,29
1494,2018,12
1495,2018,41
1496,2018,4083
1497,2018,301
1498,2018,3696
1499,2018,26
1500,2018,C
1501,2018,C
1502,2018,3665
1503,2018,C
1504,2018,9
1505,2018,119
1506,2018,870
1507,2018,3
1508,2018,210
1509,2018,2400
1510,2018,C
1511,2018,440
1512,2018,466
1513,2018,443
1514,2018,3950
1515,2018,1846
1516,2018,502
1517,2018,113
1518,2018,23
1519,2018,1602
1520,2018,3950
1521,2018,1600
1522,2018,1530
1523,2018,820
1524,2018,343600
1525,2018,37300
1526,2018,121
1527,2018,90
1528,2018,30
1529,2018,28
1530,2018,11
1531,2018,41
